,58.0,42.0,41.0,56.0,52.0,47.0,52.0,39.5,45.0,38.0
,-150,-125,-86,-60,-20,3,30,65,100,177
0,"['era5', array(-29255.525, dtype=float32)]","['era5', array(42037.715, dtype=float32)]","['era5', array(-89779.85, dtype=float32)]","['era5', array(63200.418, dtype=float32)]","['era5', array(-129034.52, dtype=float32)]","['era5', array(19148.889, dtype=float32)]","['era5', array(113000.88, dtype=float32)]","['era5', array(-124598.9, dtype=float32)]","['era5', array(75660.414, dtype=float32)]","['era5', array(-54201.45, dtype=float32)]"
1,"['ACCESS-CM2', 94150.1357506576]","['ACCESS-CM2', -18720.29169884201]","['ACCESS-CM2', -63100.1143332774]","['ACCESS-CM2', 3371.8664932011056]","['ACCESS-CM2', -54093.56019249095]","['ACCESS-CM2', -1522.6916400873163]","['ACCESS-CM2', 77081.1863661797]","['ACCESS-CM2', -84196.6035252641]","['ACCESS-CM2', 53488.602599183374]","['ACCESS-CM2', -42052.574447428815]"
2,"['AWI-ESM-1-1-LR', 3720.811773264011]","['AWI-ESM-1-1-LR', 32000.238934586923]","['AWI-ESM-1-1-LR', 43682.13493648919]","['AWI-ESM-1-1-LR', -86278.94940126469]","['AWI-ESM-1-1-LR', 56353.35820043629]","['AWI-ESM-1-1-LR', -77019.99759386716]","['AWI-ESM-1-1-LR', -85166.80451849362]","['AWI-ESM-1-1-LR', 21194.706871467766]","['AWI-ESM-1-1-LR', -19062.996136198355]","['AWI-ESM-1-1-LR', 8242.231433607467]"
3,"['BCC-CSM2-MR', 14068.438285490556]","['BCC-CSM2-MR', -42587.152311006656]","['BCC-CSM2-MR', -78288.91619663125]","['BCC-CSM2-MR', -50859.034984052625]","['BCC-CSM2-MR', 822.9491410667646]","['BCC-CSM2-MR', -32398.493296401855]","['BCC-CSM2-MR', 99960.2902887359]","['BCC-CSM2-MR', -98601.03338928992]","['BCC-CSM2-MR', -17736.490490179607]","['BCC-CSM2-MR', -43586.671562867254]"
4,"['CAMS-CSM1-0', -12797.814481562304]","['CAMS-CSM1-0', 38777.81330367649]","['CAMS-CSM1-0', 5130.9610794024165]","['CAMS-CSM1-0', -45039.350125902485]","['CAMS-CSM1-0', -9511.6508673272]","['CAMS-CSM1-0', -51337.09964187781]","['CAMS-CSM1-0', -42461.32388226754]","['CAMS-CSM1-0', -9839.706090873577]","['CAMS-CSM1-0', -15334.587605617975]","['CAMS-CSM1-0', 11814.920874601214]"
5,"['CESM2-WACCM', -25757.528104191024]","['CESM2-WACCM', -30723.37826646523]","['CESM2-WACCM', -32293.683185048434]","['CESM2-WACCM', 56442.25773599672]","['CESM2-WACCM', 2704.944043422347]","['CESM2-WACCM', 54117.82103127947]","['CESM2-WACCM', 4195.088889821509]","['CESM2-WACCM', -60203.810351967084]","['CESM2-WACCM', -11256.837678361751]","['CESM2-WACCM', -152322.6837166364]"
6,"['CMCC-CM2-HR4', 45523.02114319291]","['CMCC-CM2-HR4', -44267.9348525544]","['CMCC-CM2-HR4', -18962.521207543054]","['CMCC-CM2-HR4', 73765.40148844526]","['CMCC-CM2-HR4', -9794.914649432161]","['CMCC-CM2-HR4', 76527.34650271387]","['CMCC-CM2-HR4', 48566.57737395771]","['CMCC-CM2-HR4', -79160.43716076334]","['CMCC-CM2-HR4', 25119.112109003254]","['CMCC-CM2-HR4', -59852.78281853271]"
7,"['CMCC-CM2-SR5', 94479.94128476299]","['CMCC-CM2-SR5', -70702.11228526678]","['CMCC-CM2-SR5', -119596.33892059747]","['CMCC-CM2-SR5', 36995.52643948298]","['CMCC-CM2-SR5', -100641.89672653987]","['CMCC-CM2-SR5', -3230.0732835319113]","['CMCC-CM2-SR5', 29891.102607576573]","['CMCC-CM2-SR5', -89436.00572156004]","['CMCC-CM2-SR5', -25941.270684348794]","['CMCC-CM2-SR5', -154687.86705836258]"
8,"['CMCC-ESM2', -59435.69096581062]","['CMCC-ESM2', -21280.781044709263]","['CMCC-ESM2', -33081.50158077309]","['CMCC-ESM2', -29665.2812069831]","['CMCC-ESM2', -15444.985557607106]","['CMCC-ESM2', 27636.113782105032]","['CMCC-ESM2', 41516.12616529581]","['CMCC-ESM2', -73311.19863745746]","['CMCC-ESM2', 23705.682726204515]","['CMCC-ESM2', -105820.86676179322]"
9,"['CNRM-CM6-1', -751.2961026243341]","['CNRM-CM6-1', -63886.020326226615]","['CNRM-CM6-1', -12150.405587264273]","['CNRM-CM6-1', -21237.494426724905]","['CNRM-CM6-1', 36445.92866655495]","['CNRM-CM6-1', -41591.74349784558]","['CNRM-CM6-1', -63582.481937216464]","['CNRM-CM6-1', 51461.33300318936]","['CNRM-CM6-1', 5163.080471154402]","['CNRM-CM6-1', 66836.38794975104]"
10,"['CNRM-ESM2-1', 1080.7754014885152]","['CNRM-ESM2-1', 7262.991863913557]","['CNRM-ESM2-1', -48703.37547982754]","['CNRM-ESM2-1', 39326.00992389907]","['CNRM-ESM2-1', -60980.307377874815]","['CNRM-ESM2-1', 25589.709036987366]","['CNRM-ESM2-1', -48175.28883946071]","['CNRM-ESM2-1', 29426.22136981697]","['CNRM-ESM2-1', -11438.19166526786]","['CNRM-ESM2-1', -14309.66514184979]"
11,"['CanESM5', -71558.88190084514]","['CanESM5', 35242.55118068353]","['CanESM5', -49260.446592244625]","['CanESM5', 813.1498237368323]","['CanESM5', 65313.37855464176]","['CanESM5', 79543.07821610414]","['CanESM5', -12325.736615186584]","['CanESM5', -90510.16890213189]","['CanESM5', 35815.411392759306]","['CanESM5', 7244.506339880205]"
12,"['EC-Earth3', -104634.71623580111]","['EC-Earth3', -111842.82244698134]","['EC-Earth3', 65975.65784511222]","['EC-Earth3', 14849.668532818516]","['EC-Earth3', 96700.03911644545]","['EC-Earth3', 20826.197719769403]","['EC-Earth3', 91346.69946561469]","['EC-Earth3', -148459.3318253037]","['EC-Earth3', -37533.256605674156]","['EC-Earth3', -21660.42203290253]"
13,"['EC-Earth3-AerChem', -41683.67724525779]","['EC-Earth3-AerChem', 4849.734846958672]","['EC-Earth3-AerChem', -16954.269587599974]","['EC-Earth3-AerChem', 86706.03741816353]","['EC-Earth3-AerChem', -12968.09617536791]","['EC-Earth3-AerChem', -21471.465874881236]","['EC-Earth3-AerChem', -7514.137239102499]","['EC-Earth3-AerChem', -38961.29541715625]","['EC-Earth3-AerChem', -1670.4854149181958]","['EC-Earth3-AerChem', -4394.5653209109705]"
14,"['EC-Earth3-CC', -40355.03715796521]","['EC-Earth3-CC', 7290.101633931948]","['EC-Earth3-CC', 44214.730009512554]","['EC-Earth3-CC', -5909.845778076214]","['EC-Earth3-CC', 35739.82194896754]","['EC-Earth3-CC', -24830.776814392044]","['EC-Earth3-CC', -49018.74008169654]","['EC-Earth3-CC', 46609.27621845471]","['EC-Earth3-CC', 10097.22319120361]","['EC-Earth3-CC', -13328.580124223694]"
15,"['EC-Earth3-Veg', 68671.12115158628]","['EC-Earth3-Veg', -39433.87044373578]","['EC-Earth3-Veg', 29819.437239102564]","['EC-Earth3-Veg', 12755.136959319574]","['EC-Earth3-Veg', -15053.862427955955]","['EC-Earth3-Veg', 16660.62285546443]","['EC-Earth3-Veg', 23833.8637009681]","['EC-Earth3-Veg', -97417.63654803843]","['EC-Earth3-Veg', 50565.38546248129]","['EC-Earth3-Veg', -64073.11378490281]"
16,"['EC-Earth3-Veg-LR', 79334.00198366081]","['EC-Earth3-Veg-LR', -10015.48559397902]","['EC-Earth3-Veg-LR', -47058.3367466847]","['EC-Earth3-Veg-LR', -52503.840078898626]","['EC-Earth3-Veg-LR', -44215.96982821344]","['EC-Earth3-Veg-LR', 3100.2493089362415]","['EC-Earth3-Veg-LR', 59891.57975491015]","['EC-Earth3-Veg-LR', -125133.66752559989]","['EC-Earth3-Veg-LR', 20697.661985898958]","['EC-Earth3-Veg-LR', -42991.76914834094]"
17,"['GFDL-CM4', -53414.31233282983]","['GFDL-CM4', -45909.89164008718]","['GFDL-CM4', -7833.142980247435]","['GFDL-CM4', 688.9338285489579]","['GFDL-CM4', -38717.36882099508]","['GFDL-CM4', 35016.488296681775]","['GFDL-CM4', 22733.223549325914]","['GFDL-CM4', -145819.09246824466]","['GFDL-CM4', 57407.1438447765]","['GFDL-CM4', -43971.48131609871]"
